at_ismi,at_id,bugun_tarih,bugun_sehir,bugun_kosu_no,json_dosyasi,onceki_kosu_url,at_derece,at_sira,onceki_kosu_birinci_ismi,onceki_kosu_birinci_derece,onceki_kosu_birinci_ganyan,onceki_kosu_mesafe,onceki_kosu_pist
GREY GHOST,,20250926,i̇stanbul,3,istanbul_atlari_20250926.json,https://yenibeygir.com/12-09-2025/istanbul/7/sonuclar?kosu=141762&at=98754,1.36.42,2,KANDO,1.36.38,"7,20",1600,Çim
MR BAYBARS,,20250926,i̇stanbul,3,istanbul_atlari_20250926.json,https://yenibeygir.com/12-09-2025/istanbul/7/sonuclar?kosu=141762&at=95828,1.37.95,6,KANDO,1.36.38,"7,20",1600,Çim
PEEKABOO,,20250926,i̇stanbul,3,istanbul_atlari_20250926.json,https://yenibeygir.com/15-09-2025/bursa/4/sonuclar?kosu=141762&at=77025,1.30.88,2,MAMBA FOREVER,1.30.82,"5,20",1500,Çim
RONIN,,20250926,i̇stanbul,3,istanbul_atlari_20250926.json,https://yenibeygir.com/01-08-2025/istanbul/2/sonuclar?kosu=141762&at=96349,1.24.84,2,KANDO,1.24.76,"3,95",1400,Çim
PATAKHA GUDDI,,20250926,i̇stanbul,3,istanbul_atlari_20250926.json,https://yenibeygir.com/07-09-2025/istanbul/5/sonuclar?kosu=141762&at=98124,2.05.91,5,VIKING,2.04.34,"2,05",2000,Kum
TILO GIRL,,20250926,i̇stanbul,3,istanbul_atlari_20250926.json,https://yenibeygir.com/08-09-2025/bursa/10/sonuclar?kosu=141762&at=98448,1.46.96,11,ATOMİC FORCE,1.41.63,"1,85",1700,Çim
MALĞUN HATUN,,20250926,i̇stanbul,4,istanbul_atlari_20250926.json,https://yenibeygir.com/10-09-2025/istanbul/8/sonuclar?kosu=141765&at=96964,2.39.36,5,ÇAYCI KIZ,2.38.24,"4,45",2200,Çim
AYBENOVA,,20250926,i̇stanbul,4,istanbul_atlari_20250926.json,https://yenibeygir.com/13-08-2025/istanbul/1/sonuclar?kosu=141765&at=98177,2.13.61,7,KING PELE,2.09.86,"16,95",1900,Çim
GÜL DERYA,,20250926,i̇stanbul,4,istanbul_atlari_20250926.json,https://yenibeygir.com/17-09-2025/istanbul/1/sonuclar?kosu=141765&at=98283,1.18.94,1,GÜL DERYA,1.18.94,"5,95",1200,Çim
KIZIL ZEYNA,,20250926,i̇stanbul,4,istanbul_atlari_20250926.json,https://yenibeygir.com/02-09-2025/kocaeli/5/sonuclar?kosu=141765&at=97953,2.33.66,8,YÜREK KIZI,2.18.26,"7,90",1900,Kum
KOŞUCU KIZ,,20250926,i̇stanbul,4,istanbul_atlari_20250926.json,https://yenibeygir.com/05-09-2025/bursa/5/sonuclar?kosu=141765&at=99316,1.54.27,5,JALELA,1.53.24,"12,95",1700,Çim
TUĞÇEYİM,,20250926,i̇stanbul,4,istanbul_atlari_20250926.json,https://yenibeygir.com/18-09-2025/izmir/4/sonuclar?kosu=141765&at=98905,1.19.09,2,NURBANU SULTAN,1.18.92,"6,45",1200,Çim
OKALİPTÜS,,20250926,i̇stanbul,4,istanbul_atlari_20250926.json,https://yenibeygir.com/21-09-2025/istanbul/2/sonuclar?kosu=141765&at=97601,2.17.47,7,BAYAN ALTIN,2.14.69,"1,40",1900,Çim
ÇÖL KRALİÇESİ,,20250926,i̇stanbul,4,istanbul_atlari_20250926.json,https://yenibeygir.com/21-09-2025/istanbul/2/sonuclar?kosu=141765&at=99672,2.16.13,5,BAYAN ALTIN,2.14.69,"1,40",1900,Çim
TURBOLU,,20250926,i̇stanbul,4,istanbul_atlari_20250926.json,https://yenibeygir.com/19-09-2025/istanbul/5/sonuclar?kosu=141765&at=99641,1.49.13,12,MESUTCAN,1.41.02,"6,95",1500,Kum
YURTSEVİL,,20250926,i̇stanbul,4,istanbul_atlari_20250926.json,https://yenibeygir.com/19-09-2025/bursa/9/sonuclar?kosu=141765&at=97857,1.18.34,2,KIRGINIM,1.18.30,"2,10",1200,Çim
GELİN TÜLÜ,,20250926,i̇stanbul,4,istanbul_atlari_20250926.json,https://yenibeygir.com/16-07-2025/istanbul/2/sonuclar?kosu=141765&at=99685,1.51.68,7,KÜÇÜK MİRZA,1.47.55,"3,10",1600,Çim
SEMENDİN OĞLU,,20250926,i̇stanbul,5,istanbul_atlari_20250926.json,https://yenibeygir.com/16-09-2025/kocaeli/8/sonuclar?kosu=141764&at=102144,1.38.87,3,GÜMBÜR ŞAH,1.38.12,"4,20",1400,Kum
GENÇYÜREK,,20250926,i̇stanbul,5,istanbul_atlari_20250926.json,https://yenibeygir.com/12-09-2025/istanbul/9/sonuclar?kosu=141764&at=103242,1.34.65,3,LOSTRA,1.32.91,"3,70",1400,Çim
GÜRCEYHUN,,20250926,i̇stanbul,5,istanbul_atlari_20250926.json,https://yenibeygir.com/12-09-2025/istanbul/9/sonuclar?kosu=141764&at=101466,1.34.01,2,LOSTRA,1.32.91,"3,70",1400,Çim
BALDER,,20250926,i̇stanbul,5,istanbul_atlari_20250926.json,https://yenibeygir.com/12-09-2025/istanbul/5/sonuclar?kosu=141764&at=104072,1.35.85,4,ÇETİNBAŞ,1.34.22,"4,35",1400,Çim
BAYBARSBEY,,20250926,i̇stanbul,5,istanbul_atlari_20250926.json,https://yenibeygir.com/08-09-2025/bursa/6/sonuclar?kosu=141764&at=102725,1.40.97,5,HIZLI EREN,1.39.54,"2,05",1500,Çim
KAPTANPAŞALI,,20250926,i̇stanbul,5,istanbul_atlari_20250926.json,https://yenibeygir.com/10-09-2025/istanbul/10/sonuclar?kosu=141764&at=103476,1.28.41,6,AYTEKİNBEY,1.27.38,"2,00",1300,Kum
TOSKAAN,,20250926,i̇stanbul,5,istanbul_atlari_20250926.json,https://yenibeygir.com/12-09-2025/istanbul/5/sonuclar?kosu=141764&at=103749,1.36.27,6,ÇETİNBAŞ,1.34.22,"4,35",1400,Çim
ULU BEDEN,,20250926,i̇stanbul,5,istanbul_atlari_20250926.json,https://yenibeygir.com/16-09-2025/kocaeli/1/sonuclar?kosu=141764&at=102549,1.39.94,5,KAZDAĞI EFESİ,1.38.31,"5,95",1400,Kum
ALEMARA,,20250926,i̇stanbul,5,istanbul_atlari_20250926.json,https://yenibeygir.com/17-09-2025/istanbul/4/sonuclar?kosu=141764&at=101602,1.26.38,8,STARCAN,1.20.78,"27,80",1200,Çim
AYBARIM,,20250926,i̇stanbul,5,istanbul_atlari_20250926.json,https://yenibeygir.com/10-09-2025/istanbul/2/sonuclar?kosu=141764&at=101723,1.30.74,6,TUTKUN BEY,1.27.87,"2,50",1300,Kum
GÖK MİLA,,20250926,i̇stanbul,5,istanbul_atlari_20250926.json,https://yenibeygir.com/10-09-2025/istanbul/6/sonuclar?kosu=141764&at=102519,1.34.09,13,SEVDA ŞAMPİYONU,1.27.63,"10,10",1300,Kum
JULNAR,,20250926,i̇stanbul,5,istanbul_atlari_20250926.json,https://yenibeygir.com/10-09-2025/istanbul/6/sonuclar?kosu=141764&at=104103,1.30.31,6,SEVDA ŞAMPİYONU,1.27.63,"10,10",1300,Kum
KARBİR,,20250926,i̇stanbul,5,istanbul_atlari_20250926.json,https://yenibeygir.com/10-09-2025/istanbul/10/sonuclar?kosu=141764&at=102684,1.29.09,7,AYTEKİNBEY,1.27.38,"2,00",1300,Kum
BUILD YOUR DREAMS,,20250926,i̇stanbul,6,istanbul_atlari_20250926.json,https://yenibeygir.com/20-08-2025/istanbul/4/sonuclar?kosu=141759&at=102468,1.24.80,3,LINARES,1.24.00,"8,85",1400,Çim
DILUVIO,,20250926,i̇stanbul,6,istanbul_atlari_20250926.json,https://yenibeygir.com/07-09-2025/istanbul/9/sonuclar?kosu=141759&at=102491,1.27.81,5,BRANDO,1.27.09,"19,20",1400,Çim
EL GLADIADOR,,20250926,i̇stanbul,6,istanbul_atlari_20250926.json,https://yenibeygir.com/07-09-2025/istanbul/9/sonuclar?kosu=141759&at=101418,1.27.32,4,BRANDO,1.27.09,"19,20",1400,Çim
METAL HEART,,20250926,i̇stanbul,6,istanbul_atlari_20250926.json,https://yenibeygir.com/16-08-2025/ankara/8/sonuclar?kosu=141759&at=101874,1.17.47,1,METAL HEART,1.17.47,"19,80",1300,Çim
NALÇAKAN HAN,,20250926,i̇stanbul,6,istanbul_atlari_20250926.json,https://yenibeygir.com/02-08-2025/ankara/7/sonuclar?kosu=141759&at=101927,1.24.44,3,TRAİDORA,1.23.74,"3,30",1400,Çim
UPAMECANO,,20250926,i̇stanbul,6,istanbul_atlari_20250926.json,https://yenibeygir.com/26-08-2025/ankara/9/sonuclar?kosu=141759&at=103040,1.23.55,1,UPAMECANO,1.23.55,"1,85",1400,Çim
