Koşu,At İsmi,Profil Linki,Jokey,Son Kilo,Son Mesafe,Son Pist,Son Derece,Kilo,Bugünkü Mesafe,Bugünkü Pist,Şehir,Son Hipodrom
5,GENÇYÜREK,/at/103242/gencyurek,Ö.Yıldırım,60,1400,Çim,1.34.65,60,1600,Çim,İstanbul,İstanbul
5,GÜRCEYHUN,/at/101466/gurceyhun,V.Abiş,59,1400,Çim,1.34.01,57,1600,Çim,İstanbul,İstanbul
5,BALDER,/at/104072/balder,H.Karataş,57,1400,Çim,1.35.85,57,1600,Çim,İstanbul,İstanbul
5,BAYBARSBEY,/at/102725/baybarsbey,M.S.Çelik,57,1500,Çim,1.40.97,57,1600,Çim,İstanbul,Bursa
5,KAPTANPAŞALI,/at/103476/kaptanpasali,G.Kocakaya,57,1300,Sentetik,1.28.41,57,1600,Çim,İstanbul,İstanbul
5,TOSKAAN,/at/103749/toskaan,E.Avşar,53,1400,Çim,1.36.27,53,1600,Çim,İstanbul,İstanbul
5,ULU BEDEN,/at/102549/ulu-beden,Ahmet Çelik,57,1400,Kum,1.39.94,58,1600,Çim,İstanbul,Kocaeli
5,ALEMARA,/at/101602/alemara,Y.Ş.Gümüş,51,1200,Çim,1.26.38,57,1600,Çim,İstanbul,İstanbul
5,AYBARIM,/at/101723/aybarim,E.Aktuğ,55,1300,Sentetik,1.30.74,55,1600,Çim,İstanbul,İstanbul
5,GÖK MİLA,/at/102519/gok-mila,B.Akçay,55,1300,Sentetik,1.34.09,57,1600,Çim,İstanbul,İstanbul
5,JULNAR,/at/104103/julnar,A.Kurşun,55,1300,Sentetik,1.30.31,55.5,1600,Çim,İstanbul,İstanbul
5,KARBİR,/at/102684/karbir,E.Bozdağ,53,1300,Sentetik,1.29.09,53.8,1600,Çim,İstanbul,İstanbul
6,BUILD YOUR DREAMS,/at/102468/build-your-dreams,V.Abiş,57,1400,Çim,1.24.80,57.1,1400,Çim,İstanbul,İstanbul
