Koşu,Çıktı,Birinci Derece,Skor,At İsmi,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom
,7.51,7.46,7.48,BİBAŞAH,1800,Kum,57.5,53,Bursa
,7.54,7.38,7.46,BİTİRİM PRENSES,2000,Kum,56,53.5,Bursa
,7.60,7.60,7.60,ASUMAN HANIM,2000,Çim,58.5,60,İzmir
,7.85,7.87,7.86,BAĞNI ÇİÇEK,1900,Çim,57,58,İstanbul
,7.85,7.72,7.79,CÜREKLİ AKTABAN,1200,Çim,57,53.8,Bursa
,7.88,7.71,7.79,ÇİMENGÖZ,1200,Çim,60,57.4,Bursa
,7.95,7.60,7.78,HIZLI BAKIŞ,2200,Çim,53.5,49.3,Bursa
6. Koşu,,,,,,,,,
,6.45,6.46,6.46,QUANTUM OF SOLACE,1900,Kum,60,58,İzmir
,6.57,6.58,6.58,POWER SPEED,1400,Kum,58,58,Bursa
,6.60,6.60,6.60,HANÖMER,1200,Kum,58,52,Bursa
,6.66,6.69,6.68,CAN SADİ,2400,Çim,58,58,İzmir
,6.86,6.64,6.75,PAKSUHAN,1800,Kum,54,55,Bursa
,6.92,6.89,6.90,BRUSK SHOT,2000,Çim,58,60,Bursa
7. Koşu,,,,,,,,,
,6.76,6.76,6.76,ASLAN HATİP,1400,Kum,59,57,Kocaeli
,6.87,6.88,6.88,SADIK AĞANIN OĞLU,1400,Kum,59,57.8,İzmir
,6.89,6.90,6.89,DEMİRYİĞİT,1300,Kum,53,57,Bursa
,6.97,6.97,6.97,GÖREME BEYİ,1400,Kum,57,57.3,Bursa
,6.99,6.51,6.75,FERMAN YAZAR,1500,Sentetik,57,57,İstanbul
,7.04,6.81,6.92,KAPTAN ARAS,1400,Kum,53,58.9,Bursa
,7.24,7.19,7.21,OĞUL FATİH,1200,Çim,57,57,Bursa
8. Koşu,,,,,,,,,
,6.32,6.33,6.33,SÜPER EFE,1200,Kum,57,57,Kocaeli
,6.46,6.32,6.39,KAPTAN OĞLU,1200,Kum,57,54.1,Kocaeli
,6.56,6.03,6.29,THE BUTCHER,1200,Sentetik,57,57.2,İstanbul
,6.81,6.71,6.76,MIRACLE RHYTHM,1200,Çim,59,59,Bursa
,6.82,6.73,6.78,MASTER OF THE SEAS,1200,Çim,57,55.5,Bursa
,6.83,6.33,6.58,DANCE OF WIND,1300,Çim,57,57.2,Bursa
,6.96,6.68,6.82,REBEL MOON,1200,Çim,57,57.4,Bursa
,7.01,6.74,6.88,PUSAT YİĞİDİ,1300,Çim,57,57,Bursa
,geçersiz,,,CALIFORNIA FIRE,,,57,,
,geçersiz,,,FLOWING FLOOD,,,51,,
9. Koşu,,,,,,,,,
,6.91,6.94,6.93,ŞAHSEKİN,1400,Kum,62.5,59.5,Kocaeli
,6.96,6.98,6.97,HIZLI EMEL,1400,Kum,62.5,57.5,Kocaeli
,7.03,6.96,7.00,SALUKİ,1400,Kum,62.5,59.5,Kocaeli
,7.09,7.06,7.07,İLCİN HATUN,1400,Kum,57.5,55.5,Bursa
,7.12,7.03,7.08,CANOĞLUCAN,1200,Kum,62.5,57,İzmir
,7.29,6.89,7.09,MUCİT TAY,1500,Kum,59.5,57.2,Ankara
,7.36,7.20,7.28,KILIÇ OSMAN,1300,Kum,62.5,52.1,Bursa
,7.41,7.36,7.38,ERDALIN OĞLU,1200,Çim,58,57,Bursa
,7.48,7.40,7.44,ŞEHNAZ LONGA,1500,Çim,57.5,53,Bursa
,7.58,7.11,7.35,KRAL HAKAN,1400,Kum,56.5,52,Bursa
,7.65,6.99,7.32,BİLGE HÜMA,2000,Kum,53,51.5,İzmir
,8.00,7.10,7.55,KARAVAŞ,1300,Kum,54.5,52,Bursa
