Koşu,Çıktı,Birinci Derece,Skor,At İsmi,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom
,6.06,5.99,6.03,DEJAME,1600,Çim,57,58.1,Ankara
,6.13,6.05,6.09,TRAİDORA,1600,Çim,57,55.4,İstanbul
,6.26,6.26,6.26,GRACE OF GOD,1400,Çim,57,55,İstanbul
,6.72,6.05,6.38,NAZUŞUM,1200,Çim,57,55,İzmir
9. Koşu,,,,,,,,,
,6.63,6.16,6.39,TULPARIM,1300,Sentetik,55,55.3,İstanbul
,6.71,6.19,6.45,ABUZER BABA,1300,Sentetik,57,57,İstanbul
,6.72,6.22,6.47,ÇİĞDEMİN DENİZİ,1300,Sentetik,55,52.3,İstanbul
,6.77,6.68,6.72,HARPUT MUHAFIZI,1500,Çim,57,57.3,Bursa
,6.83,6.70,6.77,UDARHAN,1400,Çim,57,57,İstanbul
,6.87,6.79,6.83,ERİŞMİŞ,1400,Çim,57,57,İstanbul
,6.88,6.37,6.62,AVRENLİ,1400,Kum,55,57,Kocaeli
,6.88,6.85,6.87,GÜLLÜ TAY,1200,Çim,55,57,İstanbul
,6.89,6.08,6.48,SEBİLE HANIM,1300,Sentetik,51,55.2,İstanbul
,6.95,6.93,6.94,THOTH,1300,Çim,57,57,İstanbul
,6.96,6.81,6.88,MEVHİDE HANIM,1400,Çim,55,53.9,İstanbul
,7.01,6.64,6.82,EL FAMİLİA,1400,Çim,54,57,İstanbul
,7.09,6.45,6.77,YEDİNCİHİS,1400,Kum,57,55,Kocaeli
,7.10,6.70,6.90,DELİ ŞİMŞEK,1200,Çim,57,57,İstanbul
