Koşu,Çıktı,At İsmi,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom
1. Koşu,,,,,,,
,5.82,ÜNLÜ BOMBA,1400,Kum,57,56.1,Ankara
,5.91,İPHİKLOS,1400,Kum,53.5,60.5,Kocaeli
,6.10,BALDWIN,1600,Çim,59,55.5,Ankara
,6.22,SAMURAI CEK,1900,Çim,53.5,58,Ankara
,6.29,HARD LION,1900,Çim,60,58,Ankara
,6.36,FAST TANGO,1900,Çim,53.5,58,Ankara
2. Koşu,,,,,,,
,5.95,DARK VEYRON,1000,Çim,59,57,Ankara
,6.08,GRENTLY WINS,1400,Kum,59,53,Ankara
,6.12,MARCO KING,1300,Çim,59,54,Ankara
,6.15,QUİEREME,1200,Çim,52,52,İstanbul
,6.21,HUAYRA,1200,Çim,57,52,İstanbul
3. Koşu,,,,,,,
,6.64,GÜNTÜRK,2200,Çim,56,54.1,Ankara
,6.68,UYANIŞ ANADOLU,2200,Çim,60,57,Ankara
,6.75,KÖKLÜ XALO,2000,Kum,57,54,Ankara
,6.82,GHOST CAT,2000,Kum,57,54.4,Ankara
,6.85,DEMEDİ DEME,2000,Kum,57,55,Adana
,7.00,BELLINZONA,2100,Sentetik,55,52.6,İstanbul
4. Koşu,,,,,,,
,6.61,SEYRET BENİ,1500,Sentetik,54,60.5,İstanbul
,6.80,ODHAN TAY,1900,Çim,50,58,Ankara
,6.81,MİR KARTALI,1400,Çim,53.5,58,Ankara
,6.88,ASİLASLAN,1600,Çim,61,56.3,Ankara
,6.90,ZEYBEK AĞA,1200,Sentetik,56.5,57.3,İstanbul
,6.94,ÇÖL PAŞA,1900,Çim,54,58,Adana
,6.98,FERMANDER,1500,Çim,60.5,56.2,Bursa
,7.09,HAYATIMINCANI,2400,Çim,60,61,Ankara
,7.16,PUSAT BEYİ,2000,Kum,59,61,Ankara
5. Koşu,,,,,,,
,6.59,TANOBA,1300,Kum,57,57,Ankara
,6.76,KASIRGA BEY,1300,Çim,54,57,Ankara
,6.80,SERİNTEPE,1200,Çim,57,57,İzmir
,6.80,UMUDUM DENİZ,1300,Kum,57,57,Ankara
,6.82,ALŞUBATHAN,1400,Çim,59,57,Ankara
,6.82,DODOKAN,1300,Kum,57,54,Ankara
,6.85,YILDIZTEPE,1000,Çim,57,57,Ankara
,6.93,CESUR ALTIN,1300,Kum,57,57,Ankara
,6.94,ÖMER EYÜP,1400,Çim,59,59,Ankara
,6.99,SEÇİLKIZ,1200,Çim,55,57.2,İstanbul
,7.38,SENUBEN,1300,Kum,57,54,Ankara
,geçersiz,SERTBAKAN,,,55,,
6. Koşu,,,,,,,
,6.07,DOĞANTÜRKBEYİ,1500,Sentetik,54.5,58,İstanbul
,6.07,BLACK PABLO,1500,Kum,54,59.5,Ankara
,6.10,I HAVE A DREAM,1500,Sentetik,56.5,60,İstanbul
,6.19,HALLELUKA,1500,Kum,60.5,60,Ankara
,6.21,RAİNY SİOL,1500,Kum,55.5,59,Ankara
,6.28,SIRIUS BLACK,1500,Kum,61,57,Ankara
7. Koşu,,,,,,,
,6.60,GLITTER WINGS,1500,Kum,58,60,Ankara
,6.68,KING OF MUNZUR,2200,Kum,58,52,Ankara
,6.71,FROU FROU,1500,Kum,61,59,Ankara
,6.97,SECRET MAN,1500,Kum,58,56.5,Ankara
,7.05,BUMMER GIRL,1900,Çim,54,55.1,Ankara
8. Koşu,,,,,,,
,6.52,ÖZTEKBEY,1600,Çim,59,60,İstanbul
,6.56,DİLAN KIZ,1400,Çim,60,61.5,İstanbul
,6.60,KÜÇÜK MİRZA,1400,Çim,57,56.1,Ankara
,6.63,ERKŞAN,2200,Çim,56,60,Ankara
,6.78,BENİM SULTANIM,2000,Çim,56,58,Bursa
,6.79,ALDA GÖR,1600,Çim,59,60,Ankara
,6.86,CANYURT,1200,Kum,53,57,Ankara
9. Koşu,,,,,,,
,6.39,VETCİHAN,1300,Kum,53,57,Ankara
,6.54,METİNCİM,1300,Kum,57,57.1,Ankara
,6.57,FERAT,1300,Kum,59,57,Ankara
,6.61,GÜNMETE,1300,Kum,57,57,Ankara
,6.64,TABİP BEY,1400,Kum,57,57,Kocaeli
,6.68,YERDENİZ,1400,Kum,58,58,Kocaeli
,6.75,AYDÜMEN,1300,Kum,57,57,Ankara
,6.86,BAŞ DAĞYUDAN,1400,Çim,59,59,Ankara
,6.86,HAMURKAR BİR,1200,Çim,55,57.1,Ankara
,6.94,DORU REİS,1200,Kum,57,54.5,Ankara
,7.03,AKSU KAAN,1300,Kum,57,57,Ankara
,7.27,AZAT BABA,1300,Kum,57,54,Ankara
,8.15,SER DAĞYUDAN,1400,Çim,58,59,Ankara
