Koşu,At İsmi,Profil Linki,Jokey,Son Kilo,Son Mesafe,Son Pist,Son Derece,Kilo,Bugünkü Mesafe,Bugünkü Pist,Şehir,Son Hipodrom
5,BERTUĞHAN,/at/97663/bertughan,B.M.Mırık,58,1400,Kum,1.37.88,57,2000,Kum,Bursa,Kocaeli
5,BİBAŞAH,/at/97361/bibasah,M.M.Bilgin,57.5,1800,Kum,2.11.82,53,2000,Kum,Bursa,Bursa
5,BAĞNI ÇİÇEK,/at/99163/bagni-cicek,Mahsun Turan,57,1900,Çim,2.15.37,58,2000,Kum,Bursa,İstanbul
5,CÜREKLİ AKTABAN,/at/97542/curekli-aktaban,K.Tokaçoğlu,57,1200,Çim,1.19.79,53.8,2000,Kum,Bursa,Bursa
5,HIZLI BAKIŞ,/at/99443/hizli-bakis,A.İnci,53.5,2200,Çim,2.38.90,49.3,2000,Kum,Bursa,Bursa
5,BİTİRİM PRENSES,/at/93996/bitirim-prenses,Ç.Ok,56,2000,Kum,2.29.92,53.5,2000,Kum,Bursa,Bursa
6,QUANTUM OF SOLACE,/at/98627/quantum-of-solace,M.Çiçek,60,1900,Kum,2.02.11,58,1900,Kum,Bursa,İzmir
6,BRUSK SHOT,/at/98562/brusk-shot,M.M.Bilgin,58,2000,Çim,2.06.32,60,1900,Kum,Bursa,Bursa
6,CAN SADİ,/at/99706/can-sadi,B.M.Mırık,58,2400,Çim,2.30.83,58,1900,Kum,Bursa,İzmir
6,HANÖMER,/at/100280/hanomer,O.Atmaca,58,1200,Kum,1.13.56,52,1900,Kum,Bursa,Bursa
6,POWER SPEED,/at/99367/power-speed,G.Özçelik,58,1400,Kum,1.28.56,58,1900,Kum,Bursa,Bursa
6,PAKSUHAN,/at/100981/paksuhan,C.Altun,54,1800,Kum,2.02.97,55,1900,Kum,Bursa,Bursa
7,ASLAN HATİP,/at/101357/aslan-hatip,N.Avci,59,1400,Kum,1.35.90,57,1200,Kum,Bursa,Kocaeli
7,SADIK AĞANIN OĞLU,/at/102091/sadik-aganin-oglu,M.Kaya,59,1400,Kum,1.37.44,57.8,1200,Kum,Bursa,İzmir
7,FERMAN YAZAR,/at/101610/ferman-yazar,Murat Keçeci,57,1500,Sentetik,1.41.49,57,1200,Kum,Bursa,İstanbul
7,GÖREME BEYİ,/at/101482/goreme-beyi,O.Gökçe,57,1400,Kum,1.39.08,57.3,1200,Kum,Bursa,Bursa
7,OĞUL FATİH,/at/102405/ogul-fatih,M.M.Bilgin,57,1200,Çim,1.18.37,57,1200,Kum,Bursa,Bursa
7,DEMİRYİĞİT,/at/103838/demiryigit,C.Altun,53,1300,Kum,1.31.33,57,1200,Kum,Bursa,Bursa
7,KAPTAN ARAS,/at/102592/kaptan-aras,A.İnci,53,1400,Kum,1.41.63,58.9,1200,Kum,Bursa,Bursa
8,MIRACLE RHYTHM,/at/103124/miracle-rhythm,C.Altun,59,1200,Çim,1.13.56,59,1200,Kum,Bursa,Bursa
8,CALIFORNIA FIRE,/at/104379/california-fire,Selim İpek,57,,,,,1200,Kum,Bursa,
8,DANCE OF WIND,/at/103675/dance-of-wind,M.M.Bilgin,57,1300,Çim,1.20.60,57.2,1200,Kum,Bursa,Bursa
8,KAPTAN OĞLU,/at/103296/kaptan-oglu,Mahsun Turan,57,1200,Kum,1.17.14,54.1,1200,Kum,Bursa,Kocaeli
8,MASTER OF THE SEAS,/at/104524/master-of-the-seas,N.Şen,57,1200,Çim,1.13.27,55.5,1200,Kum,Bursa,Bursa
8,PUSAT YİĞİDİ,/at/102504/pusat-yigidi,C.Paso,57,1300,Çim,1.22.78,57,1200,Kum,Bursa,Bursa
8,REBEL MOON,/at/104308/rebel-moon,Ç.Ok,57,1200,Çim,1.15.38,57.4,1200,Kum,Bursa,Bursa
8,SÜPER EFE,/at/103447/super-efe,K.Tokaçoğlu,57,1200,Kum,1.16.21,57,1200,Kum,Bursa,Kocaeli
8,THE BUTCHER,/at/103264/the-butcher,M.Kaya,57,1200,Sentetik,1.14.39,57.2,1200,Kum,Bursa,İstanbul
8,FLOWING FLOOD,/at/104716/flowing-flood,Ha.Gökçe,51,,,,,1200,Kum,Bursa,
