Koşu,Çıktı,At İsmi,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom
,5.93,HILLS OF SPIRIT,1500,Sentetik,54.8,54.3,İstanbul
,5.99,LORD OF THE WOLF,2100,Sentetik,58,58,İstanbul
,6.01,MİSAKA,1300,Sentetik,54.6,52.7,İstanbul
,6.07,AGGRESIVE DANCE,1500,Sentetik,59,59,İstanbul
,6.07,DOCKING BAY,1600,Çim,56,55,İstanbul
,6.07,POWERFULL LADY,1600,Çim,53,53,İstanbul
,6.09,MISS HONEY BADGER,1600,Çim,54,54,İstanbul
,6.11,DOLPHINS FLOWER,1500,Sentetik,56,56,İstanbul
,6.12,MUSKETEER,1400,Çim,54,58,Bursa
,6.15,SCORPIONS FIRE,2100,Sentetik,54,54.9,İstanbul
,6.15,OKYANUS İNCİSİ,2100,Sentetik,55.6,56,İstanbul
,6.16,TRUE REFLECTION,1500,Sentetik,56.4,56,İstanbul
,6.18,DÖNE GELİN,1400,Çim,56,56,İstanbul
,6.20,MUZAFFER AĞA,1700,Çim,56.1,52,Bursa
,6.31,KAISERIN SISI,1600,Çim,56,55.7,İstanbul
,6.35,HOLY BEERY,1600,Çim,52,56,İstanbul
,6.53,DARK MONEY,1600,Çim,52.8,56,İstanbul
,6.59,SARGAN,1200,Kum,56,56,Diyarbakır
,geçersiz,EARTHLIGHT,,,56,,
,geçersiz,EARTHBENDER,1400,Kum,54,55,Kocaeli
,geçersiz,RAPID SON,,,58,,
