Koşu,At İsmi,Profil Linki,Jokey,Son Kilo,Son Mesafe,Son Pist,Son Derece,Kilo,Bugünkü Mesafe,Bugünkü Pist,Şehir,Son Hipodrom
1,CİHANIN KIZI,/at/104581/cihanin-kizi,E.Avşar,57,,,,,1200,Sentetik,İstanbul,
1,FINALLY IDYLL,/at/104242/finally-idyll,E.Aktuğ,57,,,,,1200,Sentetik,İstanbul,
1,KÜREN,/at/103500/kuren,V.Abiş,57,,,,,1200,Sentetik,İstanbul,
1,LOURDES,/at/103473/lourdes,S.Akbulat,57,,,,,1200,Sentetik,İstanbul,
1,MAGICAL FLOWER,/at/102569/magical-flower,A.Sözen,57,,,,,1200,Sentetik,İstanbul,
1,MY FOUNTAIN,/at/103388/my-fountain,Ahmet Çelik,57,,,,,1200,Sentetik,İstanbul,
1,MYSTIC MIRAGE,/at/104231/mystic-mirage,A.Yıldız,57,,,,,1200,Sentetik,İstanbul,
1,PRINCESS ALBO,/at/103839/princess-albo,C.Altun,57,,,,,1200,Sentetik,İstanbul,
1,SAVER SWORD,/at/104803/saver-sword,Müs.Çelik,57,,,,,1200,Sentetik,İstanbul,
1,SMOOTH CRIMINAL,/at/103865/smooth-criminal,G.Özçelik,57,,,,,1200,Sentetik,İstanbul,
2,DEMİRKURT,/at/75366/demirkurt,A.Sözen,58,2800,Çim,3.03.40,56.8,1600,Çim,İstanbul,İstanbul
2,STAIN FREE,/at/90374/stain-free,A.Yıldız,57,1900,Çim,1.58.60,58.5,1600,Çim,İstanbul,İstanbul
2,CHIQUITITA,/at/94515/chiquitita,Z.Karabulut,56,1900,Çim,2.00.55,55.3,1600,Çim,İstanbul,İstanbul
2,YILDIRIMDURALİ,/at/96731/yildirimdurali,M.M.Bilgin,56.3,1900,Çim,1.57.84,60,1600,Çim,İstanbul,İstanbul
2,WINNER GETS IT ALL,/at/81101/winner-gets-it-all,Ahmet Çelik,55.8,1600,Çim,1.38.49,58,1600,Çim,İstanbul,İstanbul
2,ZORRO,/at/87987/zorro,M.Çiçek,56.5,1200,Çim,1.09.79,60,1600,Çim,İstanbul,Bursa
2,AGNODİS,/at/95837/agnodis,E.Bozdağ,55.5,1600,Çim,1.38.93,54,1600,Çim,İstanbul,İstanbul
2,FILIUS VENTUS,/at/93313/filius-ventus,G.Özçelik,56,1300,Çim,1.18.51,57,1600,Çim,İstanbul,İstanbul
2,MURODJON,/at/91696/murodjon,Müs.Çelik,55.3,2600,Çim,2.49.33,52.5,1600,Çim,İstanbul,İstanbul
2,MEKSİKALI PROTEO,/at/95855/meksikali-proteo,O.Öztürk,55,2800,Çim,3.13.84,56.2,1600,Çim,İstanbul,İstanbul
2,VELOX,/at/93322/velox,E.Aktuğ,54,1300,Çim,1.21.81,61,1600,Çim,İstanbul,İstanbul
2,NOVADORA,/at/95969/novadora,B.Çığla,51.4,1600,Çim,1.38.25,51.5,1600,Çim,İstanbul,İstanbul
3,HARVEY WALLBANGER,/at/100743/harvey-wallbanger,U.Levent,59,2100,Çim,2.15.02,59.5,1500,Sentetik,İstanbul,İstanbul
3,ORANGE ARMY,/at/100479/orange-army,Salih Çelik,59,1400,Kum,Drc.siz,57.5,1500,Sentetik,İstanbul,Kocaeli
3,BALERION,/at/98643/balerion,V.Abiş,60.5,1200,Sentetik,1.12.12,57,1500,Sentetik,İstanbul,İstanbul
3,MR NALÇAKAN,/at/100620/mr-nalcakan,Müs.Çelik,60,1200,Sentetik,1.11.72,56.5,1500,Sentetik,İstanbul,İstanbul
3,COMING RAIN,/at/100698/coming-rain,Murat Keçeci,56.5,1300,Sentetik,1.18.69,57,1500,Sentetik,İstanbul,İstanbul
3,CRIMENA FIRE,/at/98834/crimena-fire,A.Yıldız,58.5,1600,Çim,1.38.32,56.5,1500,Sentetik,İstanbul,İstanbul
3,SPEEDY BOSS,/at/100106/speedy-boss,G.Özçelik,58.5,1400,Sentetik,1.24.38,54,1500,Sentetik,İstanbul,İstanbul
3,KING HOPE,/at/100640/king-hope,E.Aktuğ,56,1800,Kum,1.59.18,52,1500,Sentetik,İstanbul,Kocaeli
3,INDIAN SUMMER,/at/101017/indian-summer,M.M.Bilgin,56.1,2100,Sentetik,2.14.12,57.5,1500,Sentetik,İstanbul,İstanbul
3,TUTTO BENE,/at/99547/tutto-bene,Y.Gökçe,52.7,2000,Sentetik,2.14.15,57,1500,Sentetik,İstanbul,İstanbul
3,BEACHCOMBER,/at/100180/beachcomber,Ahmet Çelik,55,1400,Sentetik,1.24.06,51.9,1500,Sentetik,İstanbul,İstanbul
3,GÖXU AXU,/at/100733/goxu-axu,O.Öztürk,54.5,1200,Sentetik,1.12.30,52,1500,Sentetik,İstanbul,İstanbul
3,SWORD OF HONOUR,/at/97812/sword-of-honour,C.Paso,53,1400,Sentetik,1.26.72,52,1500,Sentetik,İstanbul,İstanbul
3,WAITING A SUNNYDAY,/at/101030/waiting-a-sunnyday,Y.Ş.Gümüş,52,1400,Çim,1.25.76,56.3,1500,Sentetik,İstanbul,İstanbul
4,AZİMLİ,/at/93683/azimli,Salih Çelik,62,2200,Çim,2.30.73,59,1900,Çim,İstanbul,Ankara
4,KAŞIKÇIBEYİ,/at/94137/kasikcibeyi,H.Çizik,62,2100,Sentetik,2.26.97,60,1900,Çim,İstanbul,İstanbul
4,NAMSAL,/at/100566/namsal,Ahmet Çelik,61,1500,Kum,1.46.93,58,1900,Çim,İstanbul,Ankara
4,BERKENİN KIZI,/at/89212/berkenin-kizi,V.Abiş,58,1600,Çim,1.51.26,58,1900,Çim,İstanbul,İstanbul
4,SOYDERE,/at/81331/soydere,M.Çiçek,57,2100,Sentetik,2.24.88,60,1900,Çim,İstanbul,İstanbul
5,SULTAN NENE,/at/95428/sultan-nene,A.Ceylan,61,2000,Çim,2.17.51,58,1600,Çim,İstanbul,Bursa
5,EDAYAP,/at/85873/edayap,Ç.Taşçı,58,1600,Çim,1.51.68,52.7,1600,Çim,İstanbul,İstanbul
5,MAVİŞİN KIZI,/at/95749/mavisin-kizi,Murat Keçeci,58,1200,Çim,1.19.28,56,1600,Çim,İstanbul,Ankara
5,SAKARBAŞI KIZI,/at/97889/sakarbasi-kizi,H.Çizik,57,1900,Çim,2.12.07,54.5,1600,Çim,İstanbul,Ankara
5,GÜZEL GÜNLER,/at/94463/guzel-gunler,E.Aktuğ,58,1900,Çim,2.21.94,60.5,1600,Çim,İstanbul,İstanbul
5,ANEMON ÇİÇEĞİ,/at/91031/anemon-cicegi,A.Yıldız,57,2000,Çim,2.19.17,58,1600,Çim,İstanbul,Bursa
5,ÜSTÜNKIZ,/at/94361/ustunkiz,M.M.Bilgin,57,1500,Sentetik,1.41.41,55.8,1600,Çim,İstanbul,İstanbul
5,KADİFE KALE,/at/93565/kadife-kale,C.Altun,56,2000,Çim,2.18.16,57,1600,Çim,İstanbul,Bursa
5,KAFKAESQUE,/at/94007/kafkaesque,A.Aslan,56,1900,Çim,2.10.76,58.5,1600,Çim,İstanbul,İstanbul
5,KARANURA,/at/97403/karanura,Müs.Çelik,55,1900,Çim,2.11.79,54,1600,Çim,İstanbul,Ankara
5,AKSU NEHİR,/at/89605/aksu-nehir,C.Paso,54.6,1500,Kum,1.48.13,55.5,1600,Çim,İstanbul,Kocaeli
5,GÜL AYALI,/at/93286/gul-ayali,E.Bozdağ,55.5,2000,Çim,2.26.79,60,1600,Çim,İstanbul,İzmir
5,NİDA HATUN,/at/93579/nida-hatun,Ö.Faruk Özen,52,1300,Çim,1.27.21,56.5,1600,Çim,İstanbul,Bursa
6,PRİNCESA ADA,/at/99464/princesa-ada,Salih Çelik,60,1300,Çim,1.28.93,60.5,1300,Çim,İstanbul,İstanbul
6,ALLY SUE,/at/100804/ally-sue,Müs.Çelik,58,1000,Çim,0.56.93,52,1300,Çim,İstanbul,Ankara
6,FAREWELL KISS,/at/100148/farewell-kiss,M.M.Bilgin,58,1200,Sentetik,1.10.81,59,1300,Çim,İstanbul,İstanbul
6,LA JEFA,/at/98677/la-jefa,H.Karataş,58,1900,Çim,1.55.57,56.8,1300,Çim,İstanbul,Ankara
6,LA SPEZIA,/at/99575/la-spezia,G.Özçelik,58,1200,Sentetik,1.11.26,56.2,1300,Çim,İstanbul,İstanbul
6,MERAXES,/at/99198/meraxes,A.Kurşun,58.1,1500,Sentetik,1.32.20,58,1300,Çim,İstanbul,İstanbul
